energy_type,element,value
propane,clothes_dryer,2787.399
natural_gas,grill,2789.451
electricity,hot_tub_pump,2794.432
natural_gas,hot_water,2795.605
propane,clothes_dryer,2797.07
natural_gas,clothes_dryer,2804.104
electricity,well_pump,2805.864
natural_gas,range_oven,2811.724
electricity,ceiling_fan,2816.703
electricity,well_pump,2822.567
electricity,cooling_fans_pumps,2827.258
electricity,hot_tub_heater,2828.136
electricity,mech_vent,2829.308
propane,clothes_dryer,2848.943
electricity,heating_fans_pumps,2853.631
propane,range_oven,2854.513
electricity,ceiling_fan,2855.664
natural_gas,lighting,2858.03
electricity,ceiling_fan,2870.046
electricity,range_oven,2870.924
electricity,well_pump,2874.15
natural_gas,heating,2875.906
electricity,freezer,2877.669
propane,hot_water,2883.233
natural_gas,lighting,2883.234
natural_gas,grill,2888.801
propane,clothes_dryer,2889.095
natural_gas,grill,2891.146
natural_gas,fireplace,2894.663
natural_gas,lighting,2899.646
fuel_oil,hot_water,2904.041
electricity,heating_hp_bkup,2909.021
electricity,clothes_washer,2913.114
electricity,heating_hp_bkup,2916.35
natural_gas,fireplace,2921.918
electricity,heating_fans_pumps,2933.056
propane,range_oven,2951.813
natural_gas,fireplace,2953.57
electricity,heating_fans_pumps,2958.846
electricity,pool_heater,2963.828
natural_gas,lighting,2966.172
electricity,clothes_washer,2978.767
electricity,lighting_exterior,3001.053
natural_gas,grill,3001.926
electricity,heating_fans_pumps,3002.806
electricity,clothes_washer,3025.947
fuel_oil,hot_water,3039.147
natural_gas,lighting,3046.475
natural_gas,lighting,3072.265
natural_gas,hot_tub_heater,3077.247
electricity,clothes_washer,3080.164
propane,clothes_dryer,3080.47
natural_gas,range_oven,3090.727
natural_gas,fireplace,3095.416
electricity,dishwasher,3100.405
electricity,dishwasher,3100.987
natural_gas,grill,3102.157
electricity,cooling,3103.328
electricity,hot_tub_pump,3104.794
electricity,clothes_dryer,3136.153
electricity,lighting_exterior,3151.688
propane,range_oven,3157.547
propane,range_oven,3158.721
fuel_oil,hot_water,3166.047
propane,hot_water,3176.011
propane,range_oven,3176.89
electricity,ceiling_fan,3184.205
electricity,clothes_dryer,3189.2
electricity,heating_fans_pumps,3189.787
electricity,lighting_exterior,3195.652
electricity,freezer,3197.41
natural_gas,grill,3197.697
electricity,well_pump,3198.87
electricity,dishwasher,3200.048
fuel_oil,heating,3205.904
electricity,ceiling_fan,3209.399
electricity,heating_hp_bkup,3214.397
natural_gas,hot_tub_heater,3216.455
electricity,heating_hp_bkup,3223.488
electricity,cooling_fans_pumps,3229.35
natural_gas,lighting,3233.16
electricity,mech_vent,3238.108
electricity,hot_tub_pump,3241.952
electricity,ceiling_fan,3243.698
electricity,ceiling_fan,3250.459
natural_gas,fireplace,3252.21
electricity,heating_hp_bkup,3253.383
propane,range_oven,3262.175
electricity,lighting_interior,3273.311
electricity,hot_tub_heater,3281.517
natural_gas,fireplace,3282.689
fuel_oil,hot_water,3284.154
electricity,hot_tub_pump,3284.155
natural_gas,lighting,3284.742
electricity,cooling_fans_pumps,3292.359
electricity,dishwasher,3304.087
fuel_oil,heating,3304.962
natural_gas,clothes_dryer,3308.479
electricity,range_oven,3309.652
electricity,hot_tub_heater,3324.598
natural_gas,grill,3329.58
electricity,ceiling_fan,3331.608
electricity,range_oven,3357.422
electricity,hot_tub_pump,3361.525
electricity,clothes_dryer,3366.8
electricity,heating,3367.679
natural_gas,lighting,3377.06
electricity,well_pump,3378.816
natural_gas,fireplace,3392.005
fuel_oil,heating,3399.624
electricity,mech_vent,3400.476
electricity,hot_tub_heater,3402.555
natural_gas,lighting,3412.519
electricity,dishwasher,3413.405
electricity,cooling_fans_pumps,3416.33
natural_gas,grill,3417.501
natural_gas,grill,3429.224
propane,heating,3433.328
electricity,pool_heater,3439.189
electricity,ceiling_fan,3440.63
electricity,clothes_dryer,3442.706
electricity,ceiling_fan,3458.237
electricity,heating_hp_bkup,3460.281
electricity,range_oven,3468.787
electricity,dishwasher,3489.016
natural_gas,clothes_dryer,3493.993
natural_gas,range_oven,3494.873
natural_gas,grill,3506.303
electricity,freezer,3517.151
natural_gas,grill,3519.782
electricity,mech_vent,3521.24
propane,range_oven,3521.834
natural_gas,fireplace,3526.524
electricity,refrigerator,3530.332
electricity,well_pump,3546.747
electricity,clothes_washer,3550.862
electricity,mech_vent,3554.336
electricity,well_pump,3560.52
electricity,clothes_washer,3560.53
electricity,mech_vent,3565.2
natural_gas,lighting,3574.003
electricity,range_oven,3579.863
natural_gas,lighting,3583.966
electricity,dishwasher,3586.021
propane,clothes_dryer,3606.532
natural_gas,lighting,3620.601
propane,heating,3633.202
electricity,lighting_interior,3636.133
electricity,well_pump,3643.167
natural_gas,fireplace,3643.46
electricity,ceiling_fan,3671.568
natural_gas,clothes_dryer,3685.075
electricity,well_pump,3711.16
propane,range_oven,3713.504
electricity,clothes_washer,3715.538
propane,clothes_dryer,3716.434
electricity,lighting_exterior,3716.73
propane,clothes_dryer,3725.225
electricity,well_pump,3726.399
electricity,lighting_exterior,3728.454
propane,hot_water,3732.26
propane,clothes_dryer,3741.052
propane,range_oven,3742.225
natural_gas,lighting,3754.534
propane,hot_water,3762.153
natural_gas,hot_tub_heater,3767.429
