target,source,value
electricity,clothes_washer,6351.116
electricity,clothes_washer,16425.674
electricity,clothes_washer,16739.268
electricity,clothes_washer,207599.752
electricity,clothes_washer,16241.764
electricity,clothes_washer,12413.262
electricity,clothes_washer,14253.732
electricity,clothes_washer,12821.813
electricity,clothes_washer,287703.637
electricity,clothes_washer,3560.53
electricity,clothes_washer,1532.169
electricity,clothes_washer,3080.164
electricity,clothes_washer,1964.153
electricity,clothes_washer,45616.376
electricity,clothes_washer,21153.95
electricity,clothes_washer,39056.554
electricity,clothes_washer,22781.491
electricity,clothes_washer,50907.15
electricity,clothes_washer,486149.79
electricity,clothes_washer,7775.197
electricity,clothes_washer,5665.334
electricity,clothes_washer,2080.502
electricity,clothes_washer,1847.515
electricity,clothes_washer,72471.113
electricity,clothes_washer,5860.269
electricity,clothes_washer,63638.108
electricity,clothes_washer,77992.036
electricity,clothes_washer,95473.169
electricity,clothes_washer,369591.716
electricity,clothes_washer,5096.824
electricity,clothes_washer,50010.032
electricity,clothes_washer,33242.297
electricity,clothes_washer,23925.343
electricity,clothes_washer,318720.709
electricity,clothes_washer,8041.904
electricity,clothes_washer,5661.524
electricity,clothes_washer,2913.114
electricity,clothes_washer,2978.767
electricity,clothes_washer,72391.698
electricity,clothes_washer,303.329
electricity,clothes_washer,131.589
electricity,clothes_washer,32.238
electricity,clothes_washer,21.687
electricity,clothes_washer,1948.928
electricity,clothes_washer,4128.213
electricity,clothes_washer,1312.368
electricity,clothes_washer,2256.051
electricity,clothes_washer,476.825
electricity,clothes_washer,33828.132
electricity,clothes_washer,12907.181
electricity,clothes_washer,2738.448
electricity,clothes_washer,3715.538
electricity,clothes_washer,934.891
electricity,clothes_washer,60639.807
electricity,clothes_washer,26746.918
electricity,clothes_washer,8787.7
electricity,clothes_washer,13261.987
electricity,clothes_washer,4041.14
electricity,clothes_washer,190109.281
electricity,clothes_washer,39608.676
electricity,clothes_washer,16980.171
electricity,clothes_washer,22539.408
electricity,clothes_washer,10074.271
electricity,clothes_washer,305120.063
electricity,clothes_washer,5668.891
electricity,clothes_washer,992.628
electricity,clothes_washer,1917.555
electricity,clothes_washer,840.819
electricity,clothes_washer,33915.464
electricity,clothes_washer,3550.862
electricity,clothes_washer,6087.94
electricity,clothes_washer,26405.854
electricity,clothes_washer,14209.496
electricity,clothes_washer,82761.729
electricity,clothes_washer,66834.519
electricity,clothes_washer,25053.077
electricity,clothes_washer,66662.821
electricity,clothes_washer,33262.265
electricity,clothes_washer,470047.34
electricity,clothes_washer,18756.315
electricity,clothes_washer,4277.061
electricity,clothes_washer,8067.924
electricity,clothes_washer,4414.806
electricity,clothes_washer,87356.504
electricity,clothes_washer,53942.827
electricity,clothes_washer,17097.69
electricity,clothes_washer,53563.484
electricity,clothes_washer,21520.711
electricity,clothes_washer,435989.194
electricity,clothes_washer,54975.921
electricity,clothes_washer,23212.881
electricity,clothes_washer,91595.98
electricity,clothes_washer,103774.885
electricity,clothes_washer,621745.112
electricity,clothes_washer,6956.055
electricity,clothes_washer,2663.715
electricity,clothes_washer,4568.372
electricity,clothes_washer,1761.941
electricity,clothes_washer,63511.543
electricity,clothes_washer,56583.059
electricity,clothes_washer,21815.547
electricity,clothes_washer,68275.308
electricity,clothes_washer,14697.456
electricity,clothes_washer,526603.167
electricity,clothes_washer,2424.288
electricity,clothes_washer,547.161
electricity,clothes_washer,853.42
electricity,clothes_washer,414.693
electricity,clothes_washer,12387.56
electricity,clothes_washer,25661.068
electricity,clothes_washer,10665.99
electricity,clothes_washer,43752.398
electricity,clothes_washer,8253.438
electricity,clothes_washer,283831.984
electricity,clothes_washer,2094.584
electricity,clothes_washer,498.803
electricity,clothes_washer,1064.137
electricity,clothes_washer,313.584
electricity,clothes_washer,17139.124
electricity,clothes_washer,26249.563
electricity,clothes_washer,8458.294
electricity,clothes_washer,13754.643
electricity,clothes_washer,3998.939
electricity,clothes_washer,221274.449
electricity,clothes_washer,2011.059
electricity,clothes_washer,994.386
electricity,clothes_washer,1562.943
electricity,clothes_washer,877.159
electricity,clothes_washer,22262.026
electricity,clothes_washer,131.882
electricity,clothes_washer,20.222
electricity,clothes_washer,24.911
electricity,clothes_washer,0
electricity,clothes_washer,747.626
electricity,clothes_washer,22311.874
electricity,clothes_washer,13900.009
electricity,clothes_washer,34703.864
electricity,clothes_washer,22413.099
electricity,clothes_washer,310440.08
electricity,clothes_washer,9561.471
electricity,clothes_washer,4381.388
electricity,clothes_washer,4238.084
electricity,clothes_washer,4014.466
electricity,clothes_washer,78867.992
electricity,clothes_washer,14310.12
electricity,clothes_washer,6834.978
electricity,clothes_washer,22827.498
electricity,clothes_washer,10088.338
electricity,clothes_washer,177327.422
electricity,clothes_washer,9283.641
electricity,clothes_washer,5699.62
electricity,clothes_washer,10642.538
electricity,clothes_washer,4637.832
electricity,clothes_washer,88749.765
electricity,clothes_washer,6524.37
electricity,clothes_washer,2000.789
electricity,clothes_washer,2714.995
electricity,clothes_washer,2065.857
electricity,clothes_washer,38663.809
electricity,clothes_washer,998.494
electricity,clothes_washer,240.902
electricity,clothes_washer,452.206
electricity,clothes_washer,714.502
electricity,clothes_washer,8055.084
electricity,clothes_washer,9501.099
electricity,clothes_washer,3025.947
electricity,clothes_washer,4600.321
electricity,clothes_washer,2464.719
electricity,clothes_washer,69099.287
electricity,clothes_washer,1078.213
electricity,clothes_washer,64.476
electricity,clothes_washer,125.434
electricity,clothes_washer,59.2
electricity,clothes_washer,4268.301
electricity,clothes_washer,235.63
electricity,clothes_washer,274.9
electricity,clothes_washer,222.147
electricity,clothes_washer,67.699
electricity,clothes_washer,3779.742
electricity,clothes_washer,36474.881
electricity,clothes_washer,39607.542
electricity,clothes_washer,82965.754
electricity,clothes_washer,59848.158
electricity,clothes_washer,730276.853
electricity,clothes_washer,8952.466
electricity,clothes_washer,17219.619
electricity,clothes_washer,29334.542
electricity,clothes_washer,28022.195
electricity,clothes_washer,211201.098
electricity,clothes_washer,22058.062
electricity,clothes_washer,16207.08
electricity,clothes_washer,40400.278
electricity,clothes_washer,16944.439
electricity,clothes_washer,291363.837
electricity,clothes_washer,1516.941
electricity,clothes_washer,609.585
electricity,clothes_washer,410.591
